235919008 -> 65275009 | Standardized Lift: 1.0000 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.002300
271737000,431856006 -> 90781000119102 | Standardized Lift: 0.7577 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.003172
15777000 -> 271737000 | Standardized Lift: 0.7316 | Lift: 2.6585 | Confidence: 0.8162 | Interest: 0.155845
124171000119105,196416002 -> 82423001 | Standardized Lift: 0.7285 | Lift: 20.1163 | Confidence: 0.9553 | Interest: 0.033326
254632001,271737000 -> 67811000119102 | Standardized Lift: 0.7213 | Lift: 514.3909 | Confidence: 0.9994 | Interest: 0.001399
254637007,271737000 -> 424132000 | Standardized Lift: 0.7165 | Lift: 90.7821 | Confidence: 0.9997 | Interest: 0.007828
162573006,271737000 -> 424132000 | Standardized Lift: 0.7161 | Lift: 77.0458 | Confidence: 0.8484 | Interest: 0.007812
236077008,271737000 -> 6072007 | Standardized Lift: 0.7147 | Lift: 261.7770 | Confidence: 1.0000 | Interest: 0.002723
15777000,237602007 -> 80394007 | Standardized Lift: 0.7103 | Lift: 23.6325 | Confidence: 0.7192 | Interest: 0.027261
15777000,44054006 -> 80394007 | Standardized Lift: 0.6998 | Lift: 23.2964 | Confidence: 0.7089 | Interest: 0.027244
15777000,302870006 -> 80394007 | Standardized Lift: 0.6980 | Lift: 23.2399 | Confidence: 0.7072 | Interest: 0.027241
126906006,271737000 -> 92691004 | Standardized Lift: 0.6906 | Lift: 40.0300 | Confidence: 0.9113 | Interest: 0.015448
55680006 -> 82423001 | Standardized Lift: 0.6722 | Lift: 14.9045 | Confidence: 0.7078 | Interest: 0.030451
235919008,444814009 -> 65275009 | Standardized Lift: 0.6719 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.001546
124171000119105 -> 55680006 | Standardized Lift: 0.6714 | Lift: 14.8884 | Confidence: 0.6866 | Interest: 0.030436
196416002 -> 55680006 | Standardized Lift: 0.6706 | Lift: 14.8722 | Confidence: 0.6858 | Interest: 0.030453
254632001,444814009 -> 67811000119102 | Standardized Lift: 0.6683 | Lift: 514.3659 | Confidence: 0.9993 | Interest: 0.001297
236077008,444814009 -> 6072007 | Standardized Lift: 0.6642 | Lift: 261.7770 | Confidence: 1.0000 | Interest: 0.002531
126906006,444814009 -> 92691004 | Standardized Lift: 0.6569 | Lift: 39.9515 | Confidence: 0.9095 | Interest: 0.014707
428251008,444814009 -> 74400008 | Standardized Lift: 0.6512 | Lift: 21.4633 | Confidence: 1.0000 | Interest: 0.029406
124171000119105,196416002 -> 55680006 | Standardized Lift: 0.6455 | Lift: 17.9391 | Confidence: 0.8273 | Interest: 0.028675
431856006,444814009 -> 90781000119102 | Standardized Lift: 0.6448 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.002700
196416002,55680006 -> 82423001 | Standardized Lift: 0.6274 | Lift: 19.5898 | Confidence: 0.9303 | Interest: 0.028823
124171000119105,55680006 -> 82423001 | Standardized Lift: 0.6273 | Lift: 19.5989 | Confidence: 0.9308 | Interest: 0.028819
126906006,15777000 -> 92691004 | Standardized Lift: 0.5886 | Lift: 39.9495 | Confidence: 0.9095 | Interest: 0.013201
128613002,444814009 -> 703151001 | Standardized Lift: 0.5884 | Lift: 27.1140 | Confidence: 1.0000 | Interest: 0.021224
15777000,237602007 -> 302870006 | Standardized Lift: 0.5866 | Lift: 15.2329 | Confidence: 1.0000 | Interest: 0.036983
15777000,302870006 -> 44054006 | Standardized Lift: 0.5768 | Lift: 14.7545 | Confidence: 0.9853 | Interest: 0.036972
15777000,237602007 -> 44054006 | Standardized Lift: 0.5733 | Lift: 14.9102 | Confidence: 0.9957 | Interest: 0.036770
1551000119108 -> 422034002 | Standardized Lift: 0.5678 | Lift: 56.5887 | Confidence: 1.0000 | Interest: 0.009933
1551000119108,302870006 -> 422034002 | Standardized Lift: 0.5678 | Lift: 56.5887 | Confidence: 1.0000 | Interest: 0.009933
1551000119108,237602007 -> 422034002 | Standardized Lift: 0.5668 | Lift: 56.5887 | Confidence: 1.0000 | Interest: 0.009914
15777000,254632001 -> 67811000119102 | Standardized Lift: 0.5487 | Lift: 514.2914 | Confidence: 0.9992 | Interest: 0.001065
15777000,254637007 -> 424132000 | Standardized Lift: 0.5425 | Lift: 90.7726 | Confidence: 0.9996 | Interest: 0.005938
15777000,162573006 -> 254637007 | Standardized Lift: 0.5420 | Lift: 76.9870 | Confidence: 0.8480 | Interest: 0.005928
15777000,162573006 -> 424132000 | Standardized Lift: 0.5420 | Lift: 76.9779 | Confidence: 0.8477 | Interest: 0.005926
15777000,431856006 -> 90781000119102 | Standardized Lift: 0.5396 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.002261
127013003,15777000 -> 431855005 | Standardized Lift: 0.5389 | Lift: 33.2824 | Confidence: 0.9293 | Interest: 0.014799
431856006,59621000 -> 90781000119102 | Standardized Lift: 0.5332 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.002234
162864005,254632001 -> 67811000119102 | Standardized Lift: 0.5260 | Lift: 514.7079 | Confidence: 1.0000 | Interest: 0.001021
444814009,703151001 -> 84757009 | Standardized Lift: 0.5163 | Lift: 27.2210 | Confidence: 0.5256 | Interest: 0.011157
128613002,444814009 -> 84757009 | Standardized Lift: 0.5163 | Lift: 27.2210 | Confidence: 0.5256 | Interest: 0.011157
703151001 -> 84757009 | Standardized Lift: 0.5142 | Lift: 27.1140 | Confidence: 0.5236 | Interest: 0.018597
128613002 -> 84757009 | Standardized Lift: 0.5142 | Lift: 27.1140 | Confidence: 0.5236 | Interest: 0.018597
128613002,703151001 -> 84757009 | Standardized Lift: 0.5142 | Lift: 27.1140 | Confidence: 0.5236 | Interest: 0.018597
431855005,431856006 -> 90781000119102 | Standardized Lift: 0.5122 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.002146
124171000119105,444814009 -> 82423001 | Standardized Lift: 0.4982 | Lift: 16.2760 | Confidence: 0.7730 | Interest: 0.022911
196416002,444814009 -> 82423001 | Standardized Lift: 0.4976 | Lift: 16.2190 | Confidence: 0.7702 | Interest: 0.022882
162864005,236077008 -> 6072007 | Standardized Lift: 0.4918 | Lift: 261.7770 | Confidence: 1.0000 | Interest: 0.001875
162864005,235919008 -> 65275009 | Standardized Lift: 0.4908 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.001130
15777000,235919008 -> 65275009 | Standardized Lift: 0.4889 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.001126
236077008,271737000 -> 94260004 | Standardized Lift: 0.4874 | Lift: 275.8674 | Confidence: 0.4883 | Interest: 0.001330
271737000,6072007 -> 94260004 | Standardized Lift: 0.4874 | Lift: 275.8674 | Confidence: 0.4883 | Interest: 0.001330
162864005,254637007 -> 424132000 | Standardized Lift: 0.4845 | Lift: 90.7680 | Confidence: 0.9995 | Interest: 0.005306
162573006,162864005 -> 254637007 | Standardized Lift: 0.4840 | Lift: 76.2128 | Confidence: 0.8395 | Interest: 0.005298
162573006,162864005 -> 424132000 | Standardized Lift: 0.4840 | Lift: 76.2000 | Confidence: 0.8391 | Interest: 0.005295
1551000119108,271737000 -> 422034002 | Standardized Lift: 0.4705 | Lift: 56.5887 | Confidence: 1.0000 | Interest: 0.008245
195662009,236077008 -> 6072007 | Standardized Lift: 0.4651 | Lift: 261.7770 | Confidence: 1.0000 | Interest: 0.001774
195662009,254632001 -> 67811000119102 | Standardized Lift: 0.4633 | Lift: 514.7079 | Confidence: 1.0000 | Interest: 0.000899
236077008 -> 94260004 | Standardized Lift: 0.4624 | Lift: 261.7770 | Confidence: 0.4634 | Interest: 0.001763
6072007 -> 94260004 | Standardized Lift: 0.4624 | Lift: 261.7770 | Confidence: 0.4634 | Interest: 0.001763
236077008,6072007 -> 94260004 | Standardized Lift: 0.4624 | Lift: 261.7770 | Confidence: 0.4634 | Interest: 0.001763
195662009,235919008 -> 65275009 | Standardized Lift: 0.4612 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.001062
236077008,444814009 -> 94260004 | Standardized Lift: 0.4605 | Lift: 260.6712 | Confidence: 0.4614 | Interest: 0.001168
444814009,6072007 -> 94260004 | Standardized Lift: 0.4605 | Lift: 260.6712 | Confidence: 0.4614 | Interest: 0.001168
237602007,271737000 -> 80394007 | Standardized Lift: 0.4585 | Lift: 15.6070 | Confidence: 0.4749 | Interest: 0.023047
237602007,44054006 -> 80394007 | Standardized Lift: 0.4583 | Lift: 15.6008 | Confidence: 0.4747 | Interest: 0.028480
237602007,444814009 -> 80394007 | Standardized Lift: 0.4579 | Lift: 15.5884 | Confidence: 0.4744 | Interest: 0.019046
237602007 -> 80394007 | Standardized Lift: 0.4570 | Lift: 15.5599 | Confidence: 0.4735 | Interest: 0.028475
237602007,302870006 -> 80394007 | Standardized Lift: 0.4570 | Lift: 15.5599 | Confidence: 0.4735 | Interest: 0.028475
15777000,236077008 -> 6072007 | Standardized Lift: 0.4565 | Lift: 261.7770 | Confidence: 1.0000 | Interest: 0.001741
127013003,195662009 -> 431855005 | Standardized Lift: 0.4558 | Lift: 33.4725 | Confidence: 0.9346 | Interest: 0.012550
126906006,195662009 -> 92691004 | Standardized Lift: 0.4545 | Lift: 40.0471 | Confidence: 0.9117 | Interest: 0.010227
195662009,254637007 -> 424132000 | Standardized Lift: 0.4541 | Lift: 90.7806 | Confidence: 0.9997 | Interest: 0.004976
162573006,195662009 -> 254637007 | Standardized Lift: 0.4537 | Lift: 76.9202 | Confidence: 0.8473 | Interest: 0.004967
162573006,195662009 -> 424132000 | Standardized Lift: 0.4536 | Lift: 76.9180 | Confidence: 0.8470 | Interest: 0.004966
126906006,162864005 -> 92691004 | Standardized Lift: 0.4534 | Lift: 39.9068 | Confidence: 0.9085 | Interest: 0.010203
196416002,444814009 -> 55680006 | Standardized Lift: 0.4533 | Lift: 14.8660 | Confidence: 0.6855 | Interest: 0.020244
124171000119105,444814009 -> 55680006 | Standardized Lift: 0.4527 | Lift: 14.8828 | Confidence: 0.6863 | Interest: 0.020218
195662009,410429000 -> 429007001 | Standardized Lift: 0.4519 | Lift: 26.8225 | Confidence: 1.0000 | Interest: 0.016558
302870006,44054006 -> 80394007 | Standardized Lift: 0.4510 | Lift: 15.3710 | Confidence: 0.4678 | Interest: 0.028451
195662009,22298006 -> 399211009 | Standardized Lift: 0.4507 | Lift: 46.9187 | Confidence: 1.0000 | Interest: 0.009512
127013003 -> 237602007 | Standardized Lift: 0.4481 | Lift: 15.5388 | Confidence: 0.9986 | Interest: 0.027936
271737000,302870006 -> 80394007 | Standardized Lift: 0.4480 | Lift: 15.2749 | Confidence: 0.4648 | Interest: 0.023013
302870006,444814009 -> 80394007 | Standardized Lift: 0.4478 | Lift: 15.2674 | Confidence: 0.4646 | Interest: 0.019018
302870006 -> 80394007 | Standardized Lift: 0.4467 | Lift: 15.2329 | Confidence: 0.4635 | Interest: 0.028433
195662009,428251008 -> 74400008 | Standardized Lift: 0.4441 | Lift: 21.4633 | Confidence: 1.0000 | Interest: 0.020254
271737000,44054006 -> 80394007 | Standardized Lift: 0.4437 | Lift: 15.1366 | Confidence: 0.4606 | Interest: 0.022998
195662009,237602007 -> 80394007 | Standardized Lift: 0.4418 | Lift: 15.5307 | Confidence: 0.4726 | Interest: 0.013047
195662009,302870006 -> 80394007 | Standardized Lift: 0.4414 | Lift: 15.1987 | Confidence: 0.4625 | Interest: 0.013027
44054006,444814009 -> 80394007 | Standardized Lift: 0.4401 | Lift: 15.0215 | Confidence: 0.4571 | Interest: 0.018996
444814009,55680006 -> 82423001 | Standardized Lift: 0.4399 | Lift: 14.9054 | Confidence: 0.7079 | Interest: 0.020249
44054006 -> 80394007 | Standardized Lift: 0.4386 | Lift: 14.9740 | Confidence: 0.4557 | Interest: 0.028399
127013003 -> 302870006 | Standardized Lift: 0.4384 | Lift: 15.2245 | Confidence: 0.9995 | Interest: 0.027919
127013003,237602007 -> 302870006 | Standardized Lift: 0.4380 | Lift: 15.2329 | Confidence: 1.0000 | Interest: 0.027897
195662009,431856006 -> 90781000119102 | Standardized Lift: 0.4380 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.001836
195662009,44054006 -> 80394007 | Standardized Lift: 0.4376 | Lift: 14.9435 | Confidence: 0.4547 | Interest: 0.013011
237602007,59621000 -> 80394007 | Standardized Lift: 0.4375 | Lift: 14.9394 | Confidence: 0.4546 | Interest: 0.016424
235919008,271737000 -> 65275009 | Standardized Lift: 0.4342 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.001000
195662009,237602007 -> 302870006 | Standardized Lift: 0.4327 | Lift: 15.2329 | Confidence: 1.0000 | Interest: 0.027569
302870006,59621000 -> 80394007 | Standardized Lift: 0.4308 | Lift: 14.7252 | Confidence: 0.4481 | Interest: 0.016407
127013003 -> 44054006 | Standardized Lift: 0.4307 | Lift: 14.9740 | Confidence: 1.0000 | Interest: 0.027901
127013003,302870006 -> 44054006 | Standardized Lift: 0.4304 | Lift: 14.9740 | Confidence: 1.0000 | Interest: 0.027886
195662009,302870006 -> 44054006 | Standardized Lift: 0.4303 | Lift: 14.8423 | Confidence: 0.9912 | Interest: 0.027871
127013003,237602007 -> 44054006 | Standardized Lift: 0.4301 | Lift: 14.9740 | Confidence: 1.0000 | Interest: 0.027863
44054006,59621000 -> 80394007 | Standardized Lift: 0.4246 | Lift: 14.5287 | Confidence: 0.4421 | Interest: 0.016391
195662009,237602007 -> 44054006 | Standardized Lift: 0.4236 | Lift: 14.9332 | Confidence: 0.9973 | Interest: 0.027455
195662009,237602007 -> 431855005 | Standardized Lift: 0.4216 | Lift: 15.6787 | Confidence: 0.4378 | Interest: 0.012093
237602007 -> 431855005 | Standardized Lift: 0.4176 | Lift: 15.5387 | Confidence: 0.4339 | Interest: 0.026089
237602007,302870006 -> 431855005 | Standardized Lift: 0.4176 | Lift: 15.5387 | Confidence: 0.4339 | Interest: 0.026089
1551000119108,368581000119106 -> 97331000119101 | Standardized Lift: 0.4135 | Lift: 112.1465 | Confidence: 0.4157 | Interest: 0.002333
237602007,271737000 -> 431855005 | Standardized Lift: 0.4125 | Lift: 15.3616 | Confidence: 0.4289 | Interest: 0.020791
195662009,302870006 -> 431855005 | Standardized Lift: 0.4123 | Lift: 15.3559 | Confidence: 0.4288 | Interest: 0.012085
128613002,195662009 -> 703151001 | Standardized Lift: 0.4110 | Lift: 27.1140 | Confidence: 1.0000 | Interest: 0.014923
128613002,195662009 -> 84757009 | Standardized Lift: 0.4102 | Lift: 27.0666 | Confidence: 0.5226 | Interest: 0.007799
195662009,703151001 -> 84757009 | Standardized Lift: 0.4102 | Lift: 27.0666 | Confidence: 0.5226 | Interest: 0.007799
302870006 -> 431855005 | Standardized Lift: 0.4086 | Lift: 15.2244 | Confidence: 0.4251 | Interest: 0.026073
22298006,271737000 -> 399211009 | Standardized Lift: 0.4056 | Lift: 46.9187 | Confidence: 1.0000 | Interest: 0.008569
162864005,410429000 -> 429007001 | Standardized Lift: 0.4044 | Lift: 26.8225 | Confidence: 1.0000 | Interest: 0.014844
271737000,302870006 -> 431855005 | Standardized Lift: 0.4034 | Lift: 15.0458 | Confidence: 0.4201 | Interest: 0.020776
431855005 -> 44054006 | Standardized Lift: 0.4014 | Lift: 14.9740 | Confidence: 1.0000 | Interest: 0.026057
127013003,431855005 -> 44054006 | Standardized Lift: 0.4014 | Lift: 14.9740 | Confidence: 1.0000 | Interest: 0.026057
162864005,428251008 -> 74400008 | Standardized Lift: 0.4013 | Lift: 21.4633 | Confidence: 1.0000 | Interest: 0.018336
302870006,431855005 -> 44054006 | Standardized Lift: 0.4011 | Lift: 14.9740 | Confidence: 1.0000 | Interest: 0.026042
237602007,431855005 -> 44054006 | Standardized Lift: 0.4008 | Lift: 14.9740 | Confidence: 1.0000 | Interest: 0.026021
15777000,410429000 -> 429007001 | Standardized Lift: 0.3985 | Lift: 26.8225 | Confidence: 1.0000 | Interest: 0.014632
10509002,236077008 -> 6072007 | Standardized Lift: 0.3982 | Lift: 261.7770 | Confidence: 1.0000 | Interest: 0.001519
10509002,254637007 -> 424132000 | Standardized Lift: 0.3973 | Lift: 90.7940 | Confidence: 0.9998 | Interest: 0.004356
10509002,162573006 -> 424132000 | Standardized Lift: 0.3968 | Lift: 76.8651 | Confidence: 0.8464 | Interest: 0.004347
10509002,162573006 -> 254637007 | Standardized Lift: 0.3968 | Lift: 76.8561 | Confidence: 0.8466 | Interest: 0.004348
10509002,22298006 -> 399211009 | Standardized Lift: 0.3953 | Lift: 46.9187 | Confidence: 1.0000 | Interest: 0.008353
271737000,410429000 -> 429007001 | Standardized Lift: 0.3941 | Lift: 26.8225 | Confidence: 1.0000 | Interest: 0.014471
10509002,410429000 -> 429007001 | Standardized Lift: 0.3930 | Lift: 26.8225 | Confidence: 1.0000 | Interest: 0.014432
15777000,428251008 -> 74400008 | Standardized Lift: 0.3929 | Lift: 21.4633 | Confidence: 1.0000 | Interest: 0.017962
10509002,127013003 -> 431855005 | Standardized Lift: 0.3928 | Lift: 33.4576 | Confidence: 0.9342 | Interest: 0.010835
10509002,235919008 -> 65275009 | Standardized Lift: 0.3926 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.000904
10509002,126906006 -> 92691004 | Standardized Lift: 0.3926 | Lift: 40.0626 | Confidence: 0.9121 | Interest: 0.008848
271737000,428251008 -> 74400008 | Standardized Lift: 0.3916 | Lift: 21.4633 | Confidence: 1.0000 | Interest: 0.017902
1551000119108,15777000 -> 422034002 | Standardized Lift: 0.3905 | Lift: 56.5887 | Confidence: 1.0000 | Interest: 0.006853
10509002,428251008 -> 74400008 | Standardized Lift: 0.3901 | Lift: 21.4633 | Confidence: 1.0000 | Interest: 0.017833
10509002,237602007 -> 80394007 | Standardized Lift: 0.3860 | Lift: 15.6401 | Confidence: 0.4759 | Interest: 0.011445
10509002,302870006 -> 80394007 | Standardized Lift: 0.3857 | Lift: 15.3202 | Confidence: 0.4662 | Interest: 0.011429
10509002,44054006 -> 80394007 | Standardized Lift: 0.3854 | Lift: 15.0764 | Confidence: 0.4588 | Interest: 0.011416
10509002,237602007 -> 431855005 | Standardized Lift: 0.3838 | Lift: 15.5537 | Confidence: 0.4343 | Interest: 0.010440
10509002,302870006 -> 431855005 | Standardized Lift: 0.3836 | Lift: 15.2426 | Confidence: 0.4256 | Interest: 0.010430
237602007,368581000119106 -> 80394007 | Standardized Lift: 0.3827 | Lift: 17.2637 | Confidence: 0.5253 | Interest: 0.011377
302870006,368581000119106 -> 80394007 | Standardized Lift: 0.3826 | Lift: 17.1920 | Confidence: 0.5232 | Interest: 0.011374
368581000119106 -> 80394007 | Standardized Lift: 0.3826 | Lift: 17.1554 | Confidence: 0.5221 | Interest: 0.011373
368581000119106,44054006 -> 80394007 | Standardized Lift: 0.3826 | Lift: 17.1554 | Confidence: 0.5221 | Interest: 0.011373
10509002,431856006 -> 90781000119102 | Standardized Lift: 0.3812 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.001598
1501000119109 -> 97331000119101 | Standardized Lift: 0.3789 | Lift: 145.1507 | Confidence: 0.5381 | Interest: 0.001401
1501000119109,1551000119108 -> 97331000119101 | Standardized Lift: 0.3789 | Lift: 145.1507 | Confidence: 0.5381 | Interest: 0.001401
1501000119109,44054006 -> 97331000119101 | Standardized Lift: 0.3789 | Lift: 145.1507 | Confidence: 0.5381 | Interest: 0.001401
1501000119109,237602007 -> 97331000119101 | Standardized Lift: 0.3789 | Lift: 145.1507 | Confidence: 0.5381 | Interest: 0.001401
1501000119109,422034002 -> 97331000119101 | Standardized Lift: 0.3789 | Lift: 145.1507 | Confidence: 0.5381 | Interest: 0.001401
1501000119109,302870006 -> 97331000119101 | Standardized Lift: 0.3789 | Lift: 145.1507 | Confidence: 0.5381 | Interest: 0.001401
431856006,80394007 -> 90781000119102 | Standardized Lift: 0.3786 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.001587
19169002,235919008 -> 65275009 | Standardized Lift: 0.3754 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.000864
10509002,237602007 -> 302870006 | Standardized Lift: 0.3753 | Lift: 15.2329 | Confidence: 1.0000 | Interest: 0.024004
162864005,302870006 -> 80394007 | Standardized Lift: 0.3746 | Lift: 22.7593 | Confidence: 0.6926 | Interest: 0.011205
162864005,237602007 -> 80394007 | Standardized Lift: 0.3746 | Lift: 22.7593 | Confidence: 0.6926 | Interest: 0.011205
162864005,44054006 -> 80394007 | Standardized Lift: 0.3744 | Lift: 22.4205 | Confidence: 0.6823 | Interest: 0.011197
10509002,302870006 -> 44054006 | Standardized Lift: 0.3727 | Lift: 14.8378 | Confidence: 0.9909 | Interest: 0.024237
15777000,237602007 -> 368581000119106 | Standardized Lift: 0.3716 | Lift: 16.6902 | Confidence: 0.3861 | Interest: 0.014367
15777000,368581000119106 -> 80394007 | Standardized Lift: 0.3715 | Lift: 24.8558 | Confidence: 0.7564 | Interest: 0.011131
1551000119108,80394007 -> 97331000119101 | Standardized Lift: 0.3714 | Lift: 100.8329 | Confidence: 0.3738 | Interest: 0.002055
1551000119108,15777000 -> 97331000119101 | Standardized Lift: 0.3704 | Lift: 100.5578 | Confidence: 0.3728 | Interest: 0.002574
15777000,22298006 -> 399211009 | Standardized Lift: 0.3679 | Lift: 46.9187 | Confidence: 1.0000 | Interest: 0.007779
15777000,237602007 -> 431855005 | Standardized Lift: 0.3675 | Lift: 13.7940 | Confidence: 0.3851 | Interest: 0.014140
10509002,237602007 -> 44054006 | Standardized Lift: 0.3675 | Lift: 14.9367 | Confidence: 0.9975 | Interest: 0.023911
1551000119108,444814009 -> 97331000119101 | Standardized Lift: 0.3664 | Lift: 99.4753 | Confidence: 0.3687 | Interest: 0.002476
1551000119108,59621000 -> 97331000119101 | Standardized Lift: 0.3662 | Lift: 99.4363 | Confidence: 0.3686 | Interest: 0.002247
15777000,302870006 -> 368581000119106 | Standardized Lift: 0.3658 | Lift: 16.4464 | Confidence: 0.3805 | Interest: 0.014383
1551000119108,195662009 -> 97331000119101 | Standardized Lift: 0.3656 | Lift: 99.2680 | Confidence: 0.3680 | Interest: 0.001668
1551000119108,237602007 -> 97331000119101 | Standardized Lift: 0.3648 | Lift: 99.0592 | Confidence: 0.3672 | Interest: 0.003669
271737000,368581000119106 -> 422034002 | Standardized Lift: 0.3644 | Lift: 21.2585 | Confidence: 0.3757 | Interest: 0.006848
237602007,368581000119106 -> 422034002 | Standardized Lift: 0.3644 | Lift: 21.2545 | Confidence: 0.3756 | Interest: 0.008228
1551000119108 -> 97331000119101 | Standardized Lift: 0.3642 | Lift: 98.8960 | Confidence: 0.3666 | Interest: 0.003669
1551000119108,44054006 -> 97331000119101 | Standardized Lift: 0.3642 | Lift: 98.8960 | Confidence: 0.3666 | Interest: 0.003669
1551000119108,422034002 -> 97331000119101 | Standardized Lift: 0.3642 | Lift: 98.8960 | Confidence: 0.3666 | Interest: 0.003669
1551000119108,302870006 -> 97331000119101 | Standardized Lift: 0.3642 | Lift: 98.8960 | Confidence: 0.3666 | Interest: 0.003669
302870006,368581000119106 -> 422034002 | Standardized Lift: 0.3631 | Lift: 21.1832 | Confidence: 0.3743 | Interest: 0.008233
126906006,59621000 -> 92691004 | Standardized Lift: 0.3627 | Lift: 40.1060 | Confidence: 0.9130 | Interest: 0.008181
368581000119106 -> 422034002 | Standardized Lift: 0.3623 | Lift: 21.1402 | Confidence: 0.3736 | Interest: 0.008233
10509002,128613002 -> 703151001 | Standardized Lift: 0.3614 | Lift: 27.1140 | Confidence: 1.0000 | Interest: 0.013147
15777000,302870006 -> 431855005 | Standardized Lift: 0.3610 | Lift: 13.5679 | Confidence: 0.3788 | Interest: 0.014124
